DEB [20230122-23:10:04.103] thr=1   paramiko.transport: starting thread (client mode): 0xbfe04460
DEB [20230123-15:38:14.349] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:38:14.350] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:38:14.350] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:38:14.350] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:38:14.350] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:38:14.350] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:38:14.355] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:38:14.356] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:38:14.358] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:38:14.373] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:38:14.374] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:38:14.376] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:38:14.377] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:38:14.378] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:38:14.379] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:38:19.613] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:38:19.614] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:38:27.879] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:43:21.933] thr=1   paramiko.transport: starting thread (client mode): 0xc994f9a0
DEB [20230123-15:43:21.934] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:43:21.962] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:43:21.962] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:43:21.964] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:43:21.965] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:43:21.965] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:43:21.965] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:43:21.965] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:43:21.966] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:43:21.970] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:43:21.971] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:43:21.973] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:43:21.990] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:43:21.990] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:43:21.992] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:43:21.992] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:43:21.993] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:43:21.994] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:43:25.267] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230123-15:43:25.267] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230123-15:43:29.666] thr=1   paramiko.transport: EOF in transport thread
DEB [20230123-15:44:27.402] thr=1   paramiko.transport: starting thread (client mode): 0xa7f2f9a0
DEB [20230123-15:44:27.403] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:44:27.428] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:44:27.428] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:44:27.430] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:44:27.430] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:44:27.430] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:44:27.430] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:44:27.431] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:44:27.431] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:44:27.436] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:44:27.437] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:44:27.439] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:44:27.455] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:44:27.455] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:44:27.457] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:44:27.457] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:44:27.458] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:44:27.459] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:45:55.095] thr=1   paramiko.transport: starting thread (client mode): 0xf439f9a0
DEB [20230123-15:45:55.096] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.8.1
DEB [20230123-15:45:55.122] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-paramiko_2.8.1
INF [20230123-15:45:55.123] thr=1   paramiko.transport: Connected (version 2.0, client paramiko_2.8.1)
DEB [20230123-15:45:55.124] thr=1   paramiko.transport: kex algos:['gss-gex-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group14-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'gss-group1-sha1-toWM5Slw5Ew8Mqkay+al2g==', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group16-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa'] client encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] server encrypt:['aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-cbc', 'aes192-cbc', 'aes256-cbc', 'blowfish-cbc', '3des-cbc'] client mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1', 'hmac-md5', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none'] server compress:['none'] client lang:[''] server lang:[''] kex follows?False
DEB [20230123-15:45:55.125] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20230123-15:45:55.125] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20230123-15:45:55.125] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20230123-15:45:55.125] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20230123-15:45:55.126] thr=1   paramiko.transport: Compression agreed: none
DEB [20230123-15:45:55.130] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230123-15:45:55.131] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230123-15:45:55.133] thr=1   paramiko.transport: userauth is OK
INF [20230123-15:45:55.147] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230123-15:45:55.148] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230123-15:45:55.149] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230123-15:45:55.149] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230123-15:45:55.150] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230123-15:45:55.151] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
ERR [20230123-15:46:13.017] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
